ab:   abba
cgilm:   mcgill
cgilno:   cloning, cooling
cgilnop:   policing
cgilnor:   coloring
cgilnru:   curling
cgilny:   cycling
cgilo:   logic
cgimno:   incoming, coming
cgimnot:   committing
cgimnu:   cumming
cginop:   coping
cginopy:   copying
cginor:   corning
cginoru:   occurring
cginot:   cognition
cginotu:   counting, continuing
cginotv:   covington
cginov:   convincing
cginpr:   pricing
cginry:   crying
cgint:   citing
cgintu:   cutting
cginwy:   cygwin
cgiu:   gucci
cglnoy:   oncology
cgno:   congo
chi:   chic
chik:   chick
chikory:   hickory
chikot:   hitchcock
chikt:   thick
chil:   chill, chili
chilru:   churchill
chimnop:   monophonic
chimnu:   munich
chimoru:   chromium
chimt:   mitch
chin:   chin, inch
chinor:   chronic
chinorw:   norwich
chinp:   pinch
chint:   nicht
chio:   chico
chior:   ricoh, choir
chip:   chip
chipt:   pitch
chir:   rich
chiruz:   zurich
chit:   chit, hitch
chitw:   witch
chiw:   which
chknu:   chunk
chko:   koch
chku:   chuck
chlnu:   lunch
chlny:   lynch
chlo:   loch
chlot:   cloth
chltu:   clutch
chmu:   much
chnot:   notch
chnpu:   punch
chnru:   crunch
chop:   chop
chopr:   porch
chopu:   pouch
chort:   cohort, torch
chotu:   touch
chou:   couch
chow:   chow
chru:   church
cijnotu:   injunction, conjunction, junction
cijuy:   juicy
cik:   kick
cikl:   lick, click
ciklquy:   quickly
cikluy:   luckily
cikm:   mick
cikmor:   mccormick
cikn:   nick
ciknor:   rockin
cikopt:   cockpit
cikp:   pick
cikpu:   pickup
cikqu:   quick
cikr:   rick
cikrt:   trick
cikrty:   tricky
cikry:   ricky
cikt:   tick
cikv:   vicki
cil:   clic
cilmopy:   olympic
cilmpt:   implicit
cilmru:   curriculum
ciln:   clin, incl, clinic
cilno:   colin, lincoln
cilnoru:   councillor
cilnot:   clinton
cilnou:   council
cilnt:   clint
cilo:   coli, coil
cilopx:   coolpix
cilopy:   policy
cilowx:   wilcox
cilp:   clip
cilry:   lyric
cilt:   illicit, clit
cilv:   civil
cily:   cyclic
cimnor:   micron
cimnotu:   continuum
cimnou:   communion
cimo:   comic
cimor:   micro
cimot:   commit
cimtv:   victim
cino:   ionic, coin, icon
cinor:   ironic
cinotuy:   continuity
cinotv:   conviction
cinp:   picnic
cinquy:   quincy
cinru:   incur
cintvy:   vicinity
cinv:   vinci
cinz:   zinc
ciopt:   optic, topic
cior:   rico
ciortv:   victor
ciortvy:   victory
ciorx:   croix
ciotx:   toxic
ciotxy:   toxicity
cirt:   critic
cirtu:   circuit
cirtx:   citrix
city:   city
civ:   civic
cklnou:   unlock
cklo:   lock, clock
cklu:   luck
ckluy:   lucky
ckmo:   mock
ckno:   knock
cko:   cook, cock
ckoprt:   rockport
ckor:   cork, rock
ckory:   rocky
ckrtu:   truck
cktu:   tuck
clmnou:   column
clmnoy:   commonly
clmopy:   comply
clno:   colon
clnort:   control
clnow:   clown
clnoy:   colony
clo:   coll, oclc, cool
cloprt:   protocol
clor:   color
cloru:   colour
clot:   colt
clotu:   occult
clrt:   ctrl
clru:   curl
clruy:   curly
cltu:   cult
cluy:   lucy
cmno:   common
cmnopt:   compton
cmnou:   uncommon
cmo:   como, comm
cmop:   comp
cmor:   morocco
cmortu:   courtroom
cmoy:   mccoy
cmruy:   cymru
cno:   conn
cnopr:   popcorn
cnopu:   coupon
cnor:   cron, connor, corn
cnortu:   contour
cnortuy:   country
cnorw:   crown
cnot:   cont, cotton
cnotu:   coconut, count
cnotuy:   county
cnoty:   tycoon
cntu:   uncut, cunt
co:   coco
cop:   coop
copr:   proc, crop, corp
coprtu:   corrupt
coprty:   crypto
copu:   coup
copuy:   occupy
copy:   copy
cor:   corr
cortu:   court
coru:   occur
corw:   crow
cory:   cory
coyz:   cozy
cprty:   crypt
cruy:   curry
cruz:   cruz
ctv:   cctv
de:   deed
def:   feed
defgiln:   fielding
defgin:   defending, defining, feeding
defginr:   differing
defgir:   fridge
defgiru:   figured
defgit:   gifted
defgor:   forged
defgu:   fudge
defhor:   hereford
defi:   ifdef
defil:   fiddle, filled, filed, field
defilm:   filmed
defiln:   enfield
defilrt:   filtered
defilt:   lifted
defilty:   fidelity
defilu:   fulfilled
defilw:   wildlife
defimo:   modified
defin:   fined, endif, define, defined
definot:   notified, definition
definr:   refined, finder, friend
definrt:   identifier, different
defint:   definite, identified
defintu:   unidentified
defintv:   definitive
definty:   identify
definu:   unified, undefined
defipru:   purified
defir:   freddie, fried, fired, differ
defirv:   verified
defit:   fitted
defix:   fixed
defl:   fled
deflo:   flooded, folded
deflor:   folder
deflow:   followed
defmnru:   referendum
defmo:   femdom
defmopr:   performed
defmor:   medford, reformed, formed, freedom
defn:   defended, defend
defno:   offended
defnor:   offender
defnoru:   founder
defnou:   founded
defnr:   defender, fender
defnru:   refund
defnu:   undef, funded
defor:   offered
deforw:   foreword
defpr:   preferred
defpty:   typedef
defr:   freed, feeder, deferred, fred, referred
defx:   fedex
deg:   edge
degh:   hedge
deghilt:   lighted, delighted, delight, highlighted
deghiot:   hogtied
deghitw:   weighted
deghiw:   weighed
degil:   glide
degiln:   lending
degilnt:   deleting
degilnu:   guideline
degilnw:   dwelling, welding
degilny:   yielding
degiloy:   ideology
degilr:   grilled
degimt:   midget
degin:   needing, ending
deginor:   ignored, ordering
deginp:   pending, depending
deginr:   grinder, engineered, rendering
deginrt:   ingredient
deginru:   enduring
degint:   editing
degintx:   extending
deginv:   vending
deginw:   winged, widening, wedding
deginx:   indexing
deginy:   denying
degio:   diego
degipr:   pedigree
degir:   ridge
degirt:   triggered
degitw:   widget
degiu:   guided, guide
degju:   judged, judge
degln:   legend
deglno:   golden
deglnow:   englewood
deglo:   lodged, lodge, logged
deglp:   pledged, pledge
deglpu:   plugged
deglr:   ledger
degmr:   merged, emerged
degno:   ogden
degnoru:   undergo, grounded, underground
degnorv:   governed
degnorw:   greenwood
degnou:   dungeon
degnr:   gender
dego:   dodge
degopru:   grouped
degr:   greed, reged, degree
degrt:   greeted
degru:   rugged, urged
degry:   greedy
degw:   wedge
dehi:   heidi, hide
dehiklo:   likelihood
dehil:   delhi
dehilp:   delphi
dehilrt:   thrilled
dehiltw:   withheld
dehimrt:   meredith
dehin:   hidden
dehinrt:   inherited
dehinrx:   hendrix
dehio:   hoodie
dehipw:   whipped
dehir:   hired
dehit:   edith
dehko:   hooked
dehl:   held
dehlmo:   holdem
dehlno:   holden
dehlor:   holder
dehlp:   helped
dehlw:   wheeled
dehmot:   method
dehmt:   themed
dehnor:   honored
dehnrtu:   thunder
dehnru:   hundred
deho:   hooded
dehop:   hoped
dehor:   horde, rhode
dehort:   theodore
dehpt:   depth
dehr:   herd
dehy:   hyde
dei:   eddie, died
deij:   jedi
deijno:   joined
deijnru:   injured
deikl:   liked, killed
deikln:   linked
deiknov:   invoked
deikny:   kidney
deil:   lied, deli, idle
deilm:   middle
deilmn:   medline
deilmno:   oldmedline
deilmp:   implied
deilmt:   limited
deilmtu:   multitude
deiln:   linden, lined
deilnot:   deletion
deilnov:   involved
deilnru:   underline, underlined
deilnt:   entitled
deilntu:   untitled
deilnuv:   unveiled
deilorw:   worldwide
deilpr:   replied
deilr:   riddle, drilled, relied
deilrv:   relieved, deliver, delivered
deilrvy:   delivery
deilrw:   wilder
deilt:   titled
deiltu:   diluted
deiltuz:   utilized
deilv:   devil, lived
deilw:   wilde
deilwy:   widely
deily:   yielded, yield
deim:   dime, demi
deimn:   denim, minded
deimnot:   mentioned
deimnr:   reminded, remind, reminder
deimnrt:   determined, determine
deimnru:   undermine
deimnty:   indemnity
deimot:   omitted
deimprt:   permitted
deimrt:   trimmed
deimt:   timed
deimu:   medium
deimx:   mixed
dein:   dine, indie, denied, indeed
deinop:   openid
deinopt:   endpoint, pointed
deinort:   oriented
deinot:   detention, nintendo, edition
deinotv:   devotion
deinprt:   reprinted, interpreted, printed
deinpt:   independent
deinr:   diner, dinner
deinrtv:   inverted
deinru:   ruined
deinrv:   driven
deint:   intend, intended
deintu:   united
deintv:   invented, evident, invited
deinty:   identity
deinv:   dividend, divine
deinw:   edwin
deinx:   indexed, index
deio:   diode
deiopr:   period
deioprv:   provider, provided, provide
deiort:   detroit, editor
deiorv:   overdrive, override
deiorw:   worried
deiov:   video
deiox:   dioxide, oxide
deipqu:   equipped
deipr:   ripped, pride
deiprv:   deprived
deiprx:   expired
deipt:   peptide
deiptx:   expedited
deiqru:   required
deir:   dire, reid, dried, rider, ride
deirt:   retired, tired, tried
deirtv:   retrieved
deirv:   diver, derive, derived, driver, drive
deirvw:   reviewed
deirw:   wider, wired, weird
deirx:   didrex
deit:   tide, tied, edited, diet, edit
deiv:   divide, dive, divided
deivw:   viewed
deiw:   wide
deix:   dixie
dejmpu:   jumped
dejnoy:   enjoyed
deju:   jude
deklo:   looked
deklorv:   overlooked
deknow:   kenwood
deknoy:   donkey
deknru:   drunken
deknw:   weekend
dekny:   kennedy
dekorv:   revoked
dekorw:   worked
dekorwy:   keyword
dekr:   derek
deku:   duke
deky:   dyke
del:   delle, dell
delmo:   modeled, molded, model
delmopy:   employed
delmou:   module
delmoy:   melody
delmt:   melted
delmy:   medley
deln:   lend, needle
delnor:   enrolled
delnr:   lender
delopr:   doppler
deloprv:   developer
deloprx:   explored
delopv:   develop, developed
delopx:   exploded, explode
delopy:   deploy, deployed
delor:   rolled, older
delort:   toddler
delorw:   lowered
delot:   toledo
delov:   evolved, loved
deloy:   doyle
delpru:   prelude
delpu:   pulled
delpux:   duplex
delpy:   deeply
delr:   elder
delru:   ruled
delry:   elderly
delt:   deleted, delete
delu:   duel
delux:   deluxe
deluy:   dudley
delv:   devel
delw:   weld, dwell
dem:   deemed
demno:   monde, demon
demnor:   redmond, modern
demnot:   edmonton
demnotu:   mounted
demnotw:   endowment
demnu:   edmund
demo:   doomed, dome, modem, demo, mode
demoprt:   prompted, promoted
demoprw:   empowered
demorv:   removed
demov:   moved
dempt:   tempted
dempu:   pumped, dumped
demr:   redeem
demrt:   termed
demru:   drummer, murdered, murder
demry:   remedy
demux:   demux
den:   eden, ended, needed, need
deno:   nodded, denon, node, done
denop:   opened
denoru:   rounded
denoruw:   underwood
denorv:   vendor
denorw:   wondered, renowned, wonder
denory:   rodney
denot:   denoted, denton, denote, noted
denouw:   wounded
denov:   devon
denow:   wooden, owned
denoz:   dozen
denp:   depend
denprt:   pretend
denprtu:   prudent
denprtv:   prevented
denpt:   dependent
denr:   nerd, render, rendered
denrt:   rented, tender, trend, entered
denrtu:   returned, turned
denrty:   trendy
denru:   endure, under
denrv:   reverend, denver
denrw:   renewed
dent:   tended, dent, tend
dentu:   tuned
dentx:   extend, extended
dentz:   zdnet
denu:   dune, dundee, nude
denwy:   wendy
deny:   needy, denny, deny
deop:   popped
deopr:   pedro, dropped
deoprt:   reported
deoprtx:   exported
deopru:   poured
deoprv:   proved
deoprw:   powder, powered
deopt:   opted, topped, depot
deoqtu:   quoted
deor:   oder, rode, rodeo, ordered, order
deort:   rooted
deortu:   routed, tortured
deorv:   drove, dover
deorw:   redwood
deot:   dotted
deotv:   devoted, voted
deotx:   detox
deov:   dove
deow:   owed
dep:   deep
depr:   deeper
depru:   purdue
dept:   dept
deptuy:   deputy
depty:   typed
der:   deere, deer, reed
dert:   deter
dertux:   textured
dertv:   reverted
dertx:   dexter
deru:   rude
derv:   verde
derw:   drew
dery:   dyer, ryder, dryer
detw:   tweed
dety:   teddy
deu:   dude
dew:   weed
dewy:   dewey
dey:   eddy, eyed
dfgilno:   flooding, folding
dfgin:   finding
dfginou:   founding
dfginu:   funding
dfi:   diff
dfilmor:   milford
dfilu:   fluid
dfimoy:   modify
dfin:   find
dfir:   rfid
dfirt:   drift
dflo:   fold, flood
dfloy:   floyd
dfno:   fond
dfnopru:   profound
dfnoruy:   foundry
dfnou:   found
dfnu:   fund
dfo:   food
dfor:   ford
dforx:   oxford
dfu:   duff
dghilno:   holding
dghimnt:   midnight
dghin:   hiding
dghitw:   dwight
dghortu:   drought
dghotuy:   doughty
dghou:   dough
dgi:   digi, digg
dgijnu:   judging
dgikmno:   kingdom
dgikn:   kidding
dgiknr:   drinking
dgilmno:   molding
dgilno:   lodging
dgilnr:   drilling
dgilow:   goodwill
dgilu:   guild
dgiluw:   ludwig
dgimno:   digimon
dgimnpu:   dumping
dgin:   ding, digging, dining
dgino:   indigo, doing
dginopr:   dropping
dginopu:   pounding
dginoru:   rounding
dginorw:   drowning, wording
dginow:   goodwin, downing
dginpu:   pudding
dginr:   grind, grinding, riding
dginru:   during
dginrv:   driving
dginry:   drying
dginty:   dignity
dginu:   guiding
dginv:   dividing, diving
dginw:   winding
dginy:   dying
dgir:   rigid, grid
dgit:   digit
dglo:   gold
dglou:   gould
dgno:   dong
dgnor:   gordon
dgnoru:   ground
dgo:   dogg, good
dgou:   doug
dgru:   drug
dhijtu:   judith
dhilnop:   dolphin
dhilnow:   downhill
dhimtuy:   humidity
dhin:   hindi
dhinu:   hindu
dhiorty:   thyroid
dhirt:   third
dhitw:   width
dhlmt:   dhtml
dhlo:   hold
dhlopru:   rudolph
dhlowy:   hollywood
dhltu:   duluth
dhnou:   hound
dho:   hood
dhortx:   orthodox
dhorty:   dorothy
dhory:   hydro
dhpt:   httpd
dhtv:   hdtv
diklny:   kindly
dikn:   kind
diknr:   drink
dikr:   dirk
dilm:   mild
dilno:   dillon
dilo:   idol, dildo
dilp:   lipid
dilqtuy:   liquidity
dilqu:   liquid
dilr:   drill
dilw:   wild
dim:   dimm, midi
dimn:   mind
dimno:   dominion, domino
dimnotw:   midtown
dimot:   middot
dimp:   pmid
din:   indi
dino:   dino, indo, dion
dinor:   indoor
dinow:   window
dinox:   dixon
dinptu:   pundit
dint:   didnt
dintuy:   nudity
dinw:   wind
dinwy:   windy
diny:   indy
diop:   ipod
dioprt:   tripod
dior:   dior
diot:   idiot
diov:   void
diow:   widow
dipr:   drip
dirt:   dirt
dirty:   dirty
ditwz:   twiztid
dity:   tidy
div:   vivid
divx:   xvid, divx
dju:   judd
djuy:   judy
dknru:   drunk
dkouz:   kudoz
dlmo:   mold
dlno:   london
dlnopu:   dunlop
dlnu:   lund
dlo:   doll
dlopruy:   proudly
dlor:   lord
dlorw:   world
dlot:   told
dlou:   loud
dlouw:   would
dloy:   dolly, lloyd
dlu:   dull
dluy:   duly
dmno:   mondo
dmnou:   mundo, mound
dmo:   doom, mood
dmor:   dorm
dmoy:   moody
dmoz:   dmoz
dmpu:   dump
dmru:   drum
dmuy:   muddy, dummy
dnop:   pond
dnopru:   roundup
dnoptu:   dupont
dnopu:   pound
dnor:   nord, donor
dnoru:   round
dnorw:   norwood
dnot:   dont
dnotw:   downtown
dnou:   dunno, undo
dnouw:   wound
dnow:   down
dnpu:   undp
dnu:   dunn
dopr:   prod, drop
dopru:   proud
dor:   odor, door
dortu:   outdoor
dorw:   word
dot:   todo, todd
dov:   voodoo
dow:   wood
dowy:   woody
doy:   dooyoo
druy:   rudy
dtuy:   duty
efghilr:   hilfiger
efghirt:   firefighter, fighter, freight
efgilmn:   fleming
efgiln:   feeling
efgilno:   lifelong
efginor:   foregoing, offering, foreign
efginr:   refining, fringe, referring, fingering, finger
efginru:   figurine
efginrz:   freezing
efgiorv:   forgive
efgir:   grief
efgiru:   figure
efgn:   feng
efgnort:   forgotten
efgo:   geoff
efgor:   forge
efgort:   forget
efgory:   geoffrey
efgru:   refuge, refugee
efhit:   thief
efhlopu:   hopeful
efhlpu:   helpful
efhort:   thereof, therefore
efhr:   href
efhrtu:   further
efht:   theft
efi:   fife
efijnr:   jennifer
efikn:   knife
efil:   file, life
efilm:   filme
efilmt:   lifetime
efilno:   offline
efilny:   finely
efilopr:   profile
efilr:   filler, refill, rifle, relief
efilrt:   fertile, filter
efilrty:   fertility
efilrtz:   fertilizer
efilry:   firefly
efilx:   felix
efimn:   feminine
efimnrt:   refinement
efin:   fine
efinor:   inferior
efinort:   frontier
efinpx:   finepix
efinr:   refine
efinrt:   tenerife, interfere
efinrtu:   furniture
efint:   fifteen, infinite, finite
efioru:   fourier
efiorx:   firefox
efipru:   purifier
efiprx:   prefix
efiprz:   pfizer
efir:   fire
efirtux:   fixture
efirvy:   verify
efirw:   firewire
efiry:   fiery
efit:   ietf
efiv:   five
efiw:   wife
efix:   exif
efj:   jeff
efjry:   jeffrey
efklor:   folklore
efl:   flee, fell, feel
eflmory:   formerly
eflnoy:   felony
eflntu:   effluent
eflorvw:   overflow
eflorw:   fowler, flower
eflow:   wolfe, fellow
efloy:   foley
eflru:   fuller
eflrx:   reflex
eflry:   flyer, freely
eflt:   fleet, felt, left
efltu:   flute
eflu:   fuel
eflw:   flew
eflx:   flex
efm:   femme
efmnort:   fremont
efmopr:   performer, perform
efmor:   reform, former
efmpru:   perfume
efnort:   forefront
efnortu:   fourteen, fortune
efnorz:   frozen
efnot:   footnote, often
efnqrtu:   frequent
efnr:   fern
efnryz:   frenzy
efo:   feof
efoprt:   freeport
efor:   fore, offer
efort:   forte, footer, effort
eforv:   forever
eforx:   forex
efpr:   prefer
efqr:   freq
efr:   referee, reef, refer, free
efrtu:   future
efrv:   fever
efrw:   fewer
efry:   frey, ferry
efrz:   freezer, freeze
eft:   feet
eghil:   lehigh, leigh
eghilnp:   helping
eghilrt:   lighter
eghiltw:   lightweight
eghin:   hinge
eghinr:   herring
eghint:   eighteen
eghintw:   weighting
eghinw:   weighing
eghiny:   hygiene
eghir:   higher
eghit:   eighth, height, eight
eghitw:   weight
eghity:   eighty
eghiw:   weigh
eghlnt:   length
eghlnty:   lengthy
eghlory:   gloryhole
eghloty:   theology
eghnou:   enough
eghnru:   hunger
eghort:   together
eghot:   ghetto
eghu:   huge
egijknr:   jerking
egijln:   jingle
egijnoy:   enjoying
egikln:   keeling
egiknp:   keeping
egiknrt:   trekking
egil:   geile
egilmnt:   melting
egilmor:   gilmore
egilmu:   miguel
egiln:   elgin, nigel
egilno:   legion
egilnor:   religion
egilnov:   evolving
egilnr:   lingere, lingerie
egilnrt:   lettering
egilnrv:   greenville
egilnry:   relying
egilnt:   letting, intelligent, telling
egilnuy:   genuinely
egiloty:   etiology
egilprv:   privilege
egilpz:   leipzig
egilr:   grille
egilrt:   glitter
egimn:   gemini
egimnot:   mentioning
egimnpt:   pigment
egimnr:   regimen, merging, emerging
egimnrt:   metering, regiment
egimnt:   meeting
egimr:   regime
egin:   genie, engine
eginop:   pigeon, opening
eginopr:   pioneering
eginor:   ignore, region
eginort:   nitrogen, ringtone
eginorv:   governing
eginp:   peeing
eginprt:   interpreting
eginpu:   penguin
eginpw:   winnipeg
eginqru:   requiring
eginr:   ringer, reign, ginger, niger, engineer, engineering
eginrt:   retiring, renting, greeting, integer, entering
eginrtu:   returning
eginrtv:   retrieving
eginrty:   integrity
eginrvw:   reviewing
egint:   getting
eginu:   genuine
eginv:   evening, given
eginvw:   viewing
egirt:   trigger, tiger
egiv:   give
egjlnu:   jungle
egjor:   jorge
egjp:   jpeg
egk:   geek
egklo:   kellogg
egkny:   keygen
egkr:   greek
egkru:   kruger
eglmnt:   gentlemen
egln:   engl, glenn, glen
eglnop:   opengl
eglnor:   longer
eglnou:   lounge
eglnpu:   plunge
eglnt:   gentle
eglnty:   gently
eglo:   lego, google
eglor:   logger
eglot:   toggle
eglov:   glove
egloy:   geology
eglu:   glue
egmno:   genome, gnome
egmnort:   montenegro
egmortu:   gourmet
egmorty:   geometry
egmoz:   gomez
egmp:   mpeg
egmr:   emerge, merge, merger
egn:   gene
egno:   gone
egnor:   negro, oregon
egnortw:   georgetown
egnoruy:   younger
egnorv:   govern, governor
egnot:   gentoo, gotten
egnotu:   tongue
egnoxy:   oxygen
egnr:   greene, genre, green
egnrt:   regent
egnrtu:   urgent
egnrv:   evergreen, revenge
egnry:   energy
egnu:   eugene
egnuy:   nguyen
egnw:   gwen
egoptu:   peugeot
egor:   georg, gorge, gore, roger, george
egoru:   rogue, rouge
egorv:   groove, grove
egorw:   grower
egory:   gregory
egouv:   vogue
egpr:   grep
egpty:   egypt
egpy:   peggy
egr:   gregg, greg
egrt:   greet, regret
egru:   urge
egrw:   grew
egry:   gerry, grey
egty:   getty
eh:   hehe
ehik:   hike
ehikt:   keith
ehilmu:   helium
ehilmw:   wilhelm
ehilnot:   hotline
ehilnp:   helpline, philippine
ehilp:   philippe
ehilrt:   hitler, thriller
ehilw:   while
ehilx:   helix
ehinopx:   phoenix
ehinor:   heroin
ehinr:   henri, herein
ehinrt:   thirteen, inherent, therein, neither
ehinrw:   wherein
ehint:   nineteenth
ehintw:   twentieth
ehintwy:   whitney
ehintz:   zenith
ehinz:   heinz
ehiortw:   hotwire
ehiot:   hottie
ehir:   hier, hire
ehirt:   either, their
ehirtv:   thrive
ehitw:   hewitt, white
ehkmorw:   homework
ehknt:   kenneth
ehkor:   hooker
ehkptu:   phuket
ehl:   heel, hell
ehlm:   helm
ehlmt:   helmet
ehlmty:   methyl
ehln:   helen
ehlnopt:   telephone
ehlo:   hole, hello
ehlort:   throttle
ehlot:   hotel
ehlow:   howell, whole
ehlp:   help
ehlpr:   helper
ehlrtu:   luther
ehlruy:   hurley
ehlrw:   wheeler
ehltw:   hewlett
ehlw:   wheel
ehmnop:   phenomenon
ehmnor:   hormone
ehmnorw:   homeowner
ehmnotw:   hometown
ehmnoy:   honeymoon
ehmo:   homme, home
ehmor:   homer
ehmort:   thermometer, theorem, mother
ehmp:   hemp
ehmpruy:   humphrey
ehmr:   mehr
ehmru:   hummer
ehmt:   meth, theme, them
ehnop:   phonephone, phone
ehnopty:   phenotype
ehnort:   thereon, throne, northern
ehnorw:   nowhere
ehnoy:   honey
ehnpw:   nephew
ehnrt:   ethernet
ehnrtu:   hunter
ehnrvw:   whenever
ehnry:   henry
ehnt:   tenth, then
ehntu:   thehun
ehnw:   when
ehop:   hope
ehopr:   hopper
ehoprt:   prophet
ehor:   hero
ehort:   thereto, other
ehorty:   theory
ehorv:   hoover
ehorvw:   whoever, however
ehorw:   whore
ehot:   theo
ehow:   howe
ehprt:   perth
ehprtxy:   hypertext
ehpry:   hyper
ehpy:   hype
ehr:   here
ehrt:   ether, ther, three, there
ehrtw:   threw, whether
ehrtz:   hertz
ehrvw:   wherever
ehrvwy:   everywhere
ehrw:   where
eht:   thee, teeth
ehty:   they
ei:   ieee
eijknt:   inkjet
eijlnuv:   juvenile
eijlo:   jolie
eijltu:   juliet
eijlu:   julie
eijnpru:   juniper
eijprtu:   jupiter
eijv:   jive
eikl:   like
eikln:   klein
eiklnot:   tolkien
eiklnr:   linker
eiklnu:   unlike
eiklnuy:   unlikely
eiklr:   killer
eikly:   kylie, likely
eiklz:   ezekiel
eikm:   mike
eikn:   nike
eiknov:   invoke
eiknt:   kitten
eiknv:   kevin
eikor:   rookie
eikort:   erotik
eikp:   pike
eikr:   reiki, erik
eikt:   kite
eikv:   kiev
eilm:   lime, mile
eilmnpt:   implement
eilmnr:   merlin
eilmnt:   entitlement, timeline
eilmnu:   millenium, millennium
eilmnv:   melvin
eilmptu:   multiple
eilmr:   merrill, miller
eilmty:   timely
eilmy:   emily
eiln:   eileen, lien, nile, linen, inline, neil, line
eilno:   lionel, online
eilnotu:   outline
eilnotv:   violent
eilnov:   involve
eilnp:   nipple, pipeline
eilnpu:   lineup
eilnpz:   zeppelin
eilnquy:   uniquely
eilnr:   liner
eilnrty:   entirely
eilnt:   inlet, intel
eilnv:   neville, levin, levine
eiloprv:   liverpool
eilopt:   polite
eiloptx:   exploit
eilorv:   olivier, oliver
eilot:   eliot, toilette, elliot, elliott, toilet
eilotv:   violet
eilov:   olive
eilp:   pile
eilprt:   triple
eilpry:   ripley
eilpx:   pixel
eilqtuy:   quietly
eilrt:   litre, liter, litter
eilrv:   relieve, liver
eilry:   reilly, riley
eilt:   tile, lite, elite, little, title
eiltuz:   utilize
eiltx:   textile
eilu:   lieu
eilv:   veil, ville, levi, evil, live
eilvy:   lively
eilw:   willie
eilwy:   wiley
eilx:   exile
eim:   mime
eimn:   minnie, eminem, mine
eimno:   nominee
eimnot:   emotion, mention
eimnotz:   timezone
eimnptu:   pentium
eimnr:   miner
eimnrt:   intermittent, interim, retirement
eimnrtu:   runtime
eimnt:   imminent, eminent
eimntu:   minute
eimnu:   immune
eimnw:   winme
eimnz:   minimize
eimopr:   improper
eimoprt:   importer
eimopru:   emporium
eimoprv:   improve
eimoptz:   optimize
eimor:   memoir
eimortv:   overtime
eimotu:   timeout
eimotv:   motive
eimov:   movie
eimpr:   primer, premiere, premier, empire, prime
eimprt:   perimeter, permit
eimprtv:   primitive
eimpru:   premium
eimptu:   uptime
eimrt:   merit, timer
eimrtux:   mixture
eimrtvy:   everytime
eimrx:   mixer, remix
eimt:   item, time
eimx:   exim
ein:   eine, nine
einopr:   pioneer
einoprt:   interpro, repetition, petitioner, pointer, protein
einopt:   pointe, petition
einor:   ronnie
einort:   orient, retention, interior
einortu:   routine
einortv:   inventor, intervention
einoru:   reunion
einorv:   environ
einorvz:   verizon
einot:   intention
einotv:   invention
einp:   pine
einprt:   printprinter, pertinent, interpreter, interpret, reprint, printer
einprtu:   interrupt
einprtv:   preventive
einqru:   enquire, inquire
einqruy:   enquiry
einqu:   equine, unique
einr:   ernie, irene, erin, inner
einrt:   intern, inter, entire, internet
einrtu:   nutrient
einrtv:   intervene, inverter
einrtvw:   interview
einrtw:   rewritten, winter, written
einrty:   entirety, eternity
einru:   urine
einrv:   irvine
einrw:   winner
einrwy:   winery
eint:   nite, titten, intent
eintu:   unite
eintuv:   intuitive
eintv:   invite
einty:   ninety, entity
einu:   niue
einv:   vein, vine
einw:   wien, winnie, wine
einz:   zine, ezine
eioprt:   repertoire
eiortx:   exterior
eiorty:   territory
eiorv:   ivoire
eiorvw:   overview
eip:   pipe
eipqu:   equip
eipr:   ripper, piper, pier, ripe, pierre
eiprtv:   repetitive
eiprv:   viper
eiprvw:   preview
eiprx:   expire
eiprxy:   expiry
eiprz:   zipper, prize
eipt:   petit, petite
eipw:   wipe
eiqru:   require
eiqtu:   etiquette, quiet, quite
eiqtuy:   equity
eir:   erie
eirt:   rite, terri, retire, terrier, tier, tire
eirtuv:   virtue
eirtv:   retriever, retrieve
eirtw:   rewrite, writer, write
eirv:   iriver, river
eirvw:   viewer, reviewer, review
eirw:   weir, wire
eitv:   tive, viet, evite
eitx:   exit
eivw:   view
ejko:   joke
ejkr:   jerk
ejlo:   joel
ejlrwy:   jewellery, jewelry
ejlw:   jewel
ejly:   jelly
ejmnoty:   enjoyment
ejmor:   jerome
ejmpru:   jumper
ejmry:   jeremy
ejnoruy:   journey
ejnoy:   enjoy
ejnu:   june
ejny:   jenny
ejoy:   joey
ejp:   jeep
ejry:   jerry
ejux:   jeux
ekln:   kennel
eklnr:   kernel
eklo:   kelkoo
eklr:   keller
eklt:   kettle
eklu:   luke
eklwy:   weekly
ekly:   kelley, kyle, kelly
ekmnop:   pokemon
ekmnoy:   monkey
ekn:   keen, knee
ekno:   keno
eknortw:   network
eknot:   token
eknoty:   keynote
eknr:   kern
eknt:   kent
eknu:   nuke
eknw:   knew
ekny:   kenny
ekopr:   poker
ekorw:   worker
ekory:   yorker
ekow:   woke
ekp:   peek, keep
ekpr:   keeper
ekpt:   kept
ekpty:   typekey
ekr:   kerr
ekrt:   trek
ekrtuy:   turkey
ekry:   kerry
ekw:   week
el:   elle
elm:   elem
elmno:   mellon, lemon
elmnort:   enrolment, enrollment
elmnt:   element
elmo:   mole
elmopry:   polymer, employer
elmopy:   employ, employee
elmorty:   remotely
elmot:   motel
elmoty:   motley
elmouv:   volume
elmpt:   temple
elmrtxy:   extremely
elmrty:   myrtle
elmru:   muller, mueller
elmry:   merely
elmt:   melt
elmu:   emule, mule
elmy:   lyme
